,accuracy,complexity,convexity-qmw,convexity-quw,type,beta,optimality
10641,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10642,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10643,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10644,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10645,-2.8830838534334263e-16,-7.04753830839283e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-1.232595164407831e-32
10646,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10647,-2.8830838534334263e-16,-5.926339032057609e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-3.581539711727279e-18
10648,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10649,-2.8830838534334263e-16,-7.04753830839283e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-1.232595164407831e-32
10650,-2.8830838534334263e-16,-7.047538308392828e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10651,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10652,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10653,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10654,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10655,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10656,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10657,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10658,-2.8830838534334263e-16,-3.043255178624163e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-1.6017132519072066e-18
10659,-2.8830838534334263e-16,-4.484797105340877e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-0.0
10660,-2.8830838534334263e-16,-7.367880958774304e-17,1.0000000000000007,0.9933333333333342,suboptimal,-1.0,-3.2034265038147584e-18
10661,-2.8510495883952766e-16,6.406853007629854e-18,0.9996666666666674,0.9934000000000008,suboptimal,-1.0,-0.0
10662,-2.8510495883952766e-16,6.406853007629854e-18,0.9996666666666674,0.9934000000000008,suboptimal,-1.0,-0.0
10663,-3.107323708700471e-16,6.406853007629854e-18,0.9994000000000007,0.9934444444444452,suboptimal,-1.0,-8.008566259537247e-18
10664,-2.8510495883952766e-16,6.406853007629854e-18,1.0000000000000007,0.9934210526315798,suboptimal,-1.0,-0.0
10665,-2.8510495883952766e-16,6.406853007629854e-18,0.9996666666666674,0.9934000000000008,suboptimal,-1.0,-0.0
10666,-2.8510495883952766e-16,6.406853007629854e-18,0.9996666666666674,0.9934000000000008,suboptimal,-1.0,-0.0
10667,-2.8510495883952766e-16,6.406853007629854e-18,0.9996666666666674,0.9934000000000008,suboptimal,-1.0,-0.0
10668,-3.107323708700471e-16,6.406853007629854e-18,0.9994000000000007,0.9934444444444452,suboptimal,-1.0,-8.008566259537247e-18
10669,-3.0913065761813965e-16,6.406853007629854e-18,0.9993333333333341,0.9931818181818189,suboptimal,-1.0,-6.406853007629788e-18
10670,-2.8670667209143517e-16,3.203426503814927e-18,1.0000000000000007,0.9933000000000007,suboptimal,-1.0,-3.581539711727276e-18
10671,-3.2835121664102896e-16,2.883083853433349e-17,0.9994444444444452,0.9928787878787887,suboptimal,-1.0,-0.0
10672,-3.2835121664102896e-16,2.883083853433349e-17,0.9994444444444452,0.9928787878787887,suboptimal,-1.0,-0.0
10673,-3.2835121664102896e-16,2.883083853433349e-17,0.9994444444444452,0.9928787878787887,suboptimal,-1.0,-0.0
10674,-3.2835121664102896e-16,5.766167706866764e-17,0.9990000000000008,0.9927272727272735,suboptimal,-1.0,-1.2913425075743681e-17
10675,-3.2835121664102896e-16,2.883083853433349e-17,0.9994444444444452,0.9928787878787887,suboptimal,-1.0,-0.0
10676,-3.2835121664102896e-16,2.883083853433349e-17,0.9994444444444452,0.9928787878787887,suboptimal,-1.0,-0.0
10677,-3.1073237087004696e-16,5.4458250564852766e-17,0.9995000000000007,0.9928787878787887,suboptimal,-1.0,-5.809448590486191e-18
10678,-3.315546431448439e-16,3.0432551786240913e-17,0.9988888888888896,0.9927272727272735,suboptimal,-1.0,-3.581539711727307e-18
10679,-3.187409371295843e-16,-3.844111804577912e-17,1.0000000000000007,0.9933413078149929,suboptimal,-1.0,-3.2034265038151836e-18
10680,-3.2835121664102896e-16,2.883083853433349e-17,0.9994444444444452,0.9928787878787887,suboptimal,-1.0,-0.0
10681,-3.1393579737386207e-16,-4.805139755722397e-17,0.9996666666666674,0.9933333333333342,suboptimal,-1.0,-0.0
10682,-3.1393579737386207e-16,-4.805139755722397e-17,0.9996666666666674,0.9933333333333342,suboptimal,-1.0,-0.0
10683,-3.1393579737386207e-16,-4.805139755722397e-17,0.9996666666666674,0.9933333333333342,suboptimal,-1.0,-0.0
10684,-3.1393579737386207e-16,-4.805139755722397e-17,0.9996666666666674,0.9933333333333342,suboptimal,-1.0,-0.0
10685,-3.1393579737386207e-16,-4.805139755722397e-17,0.9996666666666674,0.9933333333333342,suboptimal,-1.0,-0.0
10686,-3.155375106257695e-16,-1.9220559022889826e-17,0.9994000000000007,0.9931818181818189,suboptimal,-1.0,-3.581539711727067e-18
10687,-3.0913065761813965e-16,-1.922055902288983e-17,0.9996666666666674,0.9931818181818189,suboptimal,-1.0,-3.581539711726946e-18
10688,-3.0913065761813965e-16,-1.922055902288983e-17,0.9996666666666674,0.9931818181818189,suboptimal,-1.0,-3.581539711726946e-18
10689,-3.107323708700471e-16,-4.8051397557223977e-17,0.9994000000000007,0.9933333333333342,suboptimal,-1.0,-3.2034265038149186e-18
