,accuracy,complexity,convexity-qmw,convexity-quw,type,beta
16166,0.00010155590343442159,0.00011022916194773982,0.23090909090909134,0.4881818181818178,suboptimal,-1.0
16167,9.860281828029437e-05,0.00010681699984503492,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16168,3.173755690082016e-05,3.8544486868518756e-05,0.2227272727272731,0.4809090909090905,suboptimal,-1.0
16169,0.00010414863228240924,0.00011171343808016182,0.23090909090909134,0.4881818181818178,suboptimal,-1.0
16170,9.945843877523551e-05,0.00010983266729143893,0.23090909090909134,0.4881818181818177,suboptimal,-1.0
16171,9.716320424866176e-05,9.926994836610475e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16172,9.709584036961673e-05,9.926994836610475e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16173,9.300338667139795e-05,9.926994836610475e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16174,8.64379301080086e-05,8.834987917632738e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16175,8.343474751584877e-05,8.859648113576125e-05,0.23090909090909134,0.4881818181818178,suboptimal,-1.0
16176,3.591923969479588e-06,1.625766405659448e-05,0.21454545454545487,0.4749954389271476,suboptimal,-1.0
16177,9.669399038496839e-05,9.926994836599113e-05,0.23090909090909134,0.4881818181818177,suboptimal,-1.0
16178,7.094723631562161e-05,7.347268589474138e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16179,8.5115897328715e-05,9.976975718875743e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16180,8.740026955210379e-05,9.900043287930285e-05,0.23090909090909129,0.4881818181818177,suboptimal,-1.0
16181,8.743760855186872e-05,8.933347241885754e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16182,8.743760855186872e-05,8.933347241885754e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16183,8.743760855186872e-05,8.933347241885754e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16184,6.352385930657382e-05,6.63214754045619e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16185,4.3060807277201614e-05,4.8821480214490676e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16186,8.434031475469e-05,8.963260170266e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16187,6.114721472081741e-05,6.561732130680583e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16188,1.2080321519316738e-05,1.8980900239145204e-05,0.21454545454545484,0.4740910107680053,suboptimal,-1.0
16189,5.437135249433656e-05,6.32744157070932e-05,0.22272727272727313,0.47999999999999965,suboptimal,-1.0
16190,7.864114439573534e-05,9.00817316386482e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
